"제공대상","제목","내용","게시시작시간","게시종료시간"
국문,안국역 임시 휴업(폐쇄) 공고,이미지 형태의 공지사항,"2025-03-14 13:20","2025-03-14 13:20"
국문,안국역 임시 휴업(폐쇄) 공고,"도시철도법 제36조(사업의 휴업 폐업) 및 동법 시행규칙제6조(사업의 휴업 또는 폐업 절차)에 의거하여 서울 지하철 3호선 안국역을 아래와 같이 임시 휴업(폐쇄) 합니다.       　　　 2025년 3월 14일       　　　서울교통공사 사장 □ 휴업(폐쇄) 기간 : 대통령 탄핵심판 선고일- 시간 : 영업개시 ~ 상황 안정시까지※ 폐쇄시간은 상황에 따라 변동될 수 있습니다.□ 휴업(폐쇄) 시설 : 서울지하철 3호선 안국역- 위치 : 서울시 종로구 율곡로 62 □ 휴업(폐쇄) 내용 : 서울지하철 3호선 안국역 여객운송- 범위 : 안국역 승·하차 및 출입구 이용 중단, 열차 무정차 통과□ 휴업(폐쇄) 사유 : 시민재난 안전관리□ 대체 교통수단 안내- 시내버스 및 광역버스 : 서울특별시 교통정보센터 등 참고","2025-03-14 13:20","2025-03-21 10:00"
국문,또타지하철 서비스 일시 중단 안내,또타지하철 앱의 안정적 서비스 제공을 위한 장비 교체 작업으로 서비스가 일시 중단됨을 알려 드립니다. 1. 서비스 중단일시 및 범위   일시: '25. 3. 11.(화) 14:00 ~ 15:00(1시간)  범위: 또타지하철 전체 서비스2. 중단 사유: 운영 장비 교체※ 작업시간은 상황에 따라 연장 또는 단축될 수 있습니다.또타지하철 앱 이용에 불편을 드려 죄송합니다.,"2025-03-10 17:00","2025-03-11 14:30"
국문,"또타지하철 앱, 별 다섯개로 칭찬해 주세요!","서울교통공사는 시민편의를 위해 노선도, 편의시설, 교통약자 서비스 등 다양한 정보를 제공하는 또타지하철 앱을 서비스하고 있습니다.또타지하철 앱을 유용하게 사용중이시라면 Play 스토어(앱스토어)에 별 다섯개로 칭찬해 주세요! 시민 여러분의 칭찬이 서울교통공사에는 힘이 됩니다. 아래 링크를 통해 리뷰를 게시할 수 있습니다. (안드로이드 기준, 아이폰은 앱 스토어 이용)","2025-03-04 09:00","2025-03-14 00:00"
국문,"5호선 광화문역 무정차 통과종료",대규모 도심 집회 관련 5호선 광화문역 무정차 통과는 14:57부로 종료하여 5호선 전 열차 정상운행합니다.  03-01 15:02:01,"2025-03-01 15:02","2025-03-01 16:02"
국문,"5호선 광화문역 무정차 통과",대규모 도심 집회 관련 인파밀집으로 14:46부터 5호선 광화문역 상하선 열차 무정차 통과 중입니다. 열차 이용에 참고하세요. 03-01 14:49:20,"2025-03-01 14:49","2025-03-01 15:49"
국문,또타지하철 서비스 일시 중단 안내,또타지하철 앱의 안정적 서비스 제공을 위한 장비 교체 작업으로 서비스가 일시 중단됨을 알려 드립니다. 1. 서비스 중단일시 및 범위   일시: '25. 2. 27.(목) 14:00 ~ 15:00(1시간)  범위: 또타지하철 전체 서비스2. 중단 사유: 운영 장비 교체※ 작업시간은 상황에 따라 연장 또는 단축될 수 있습니다.또타지하철 앱 이용에 불편을 드려 죄송합니다.,"2025-02-26 17:00","2025-02-27 15:00"
국문,"공항철도 공덕역 정상운행 재개(5,6호선 및 공항철도 환승가능) ",타는냄새 발생으로 무정차 통과했던 공항철도 공덕역에 안전조치가 완료되어 열차가 정상 운행하고 있사오니(5호선과 6호선 환승가능) 참고하시기 바랍니다. 02-17 11:24:36,"2025-02-17 11:24","2025-02-17 12:24"
국문,"공항철도 공덕역 무정차 통과로 환승불가(5,6호선 열차는 정상 운행 중) ","09:42경 공항철도 공덕역 타는냄새 발생으로 공덕역 무정차 통과 중이며, 5호선과 6호선은 정상적으로 이용 가능하오니 열차 이용에 참고하시기 바랍니다.  02-17 10:54:10","2025-02-17 10:54","2025-02-17 11:00"
국문,"공항철도 공덕역 무정차 통과로 환승불가(5,6호선 열차는 정상 운행 중) ","09:42경 공항철도 공덕역 타는냄새 발생으로 공덕역 무정차 통과 중이며, 5호선과 6호선은 정상적으로 이용 가능하오니 열차 이용에 참고하시기 바랍니다.  02-17 09:52:02","2025-02-17 09:52","2025-02-17 10:52"
국문,"3호선 특정장애인단체 시위 안내","서울교통공사에서 알려드립니다.현재 3호선에서「특정장애인단체」의 시위가 진행되고 있습니다. 이로 인해 3호선 열차 운행이 상당 시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 서울교통공사는 열차운행이 신속히 정상화될 수 있도록 최선을 다하겠습니다. 02-12 08:11:23","2025-02-12 08:11","2025-02-12 09:11"
국문,"3호선 특정장애인단체 시위 사전안내","서울교통공사에서 알려드립니다.금일 08시부터 3호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 02-12 06:00:34","2025-02-12 06:00","2025-02-12 07:00"
국문,"3호선 특정장애인단체 시위 사전안내","서울교통공사에서 알려드립니다.내일 08시부터 3호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 02-11 18:57:39","2025-02-11 18:57","2025-02-11 19:57"
국문,"2호선 신당역 열차 무정차 통과 종료","외부화재로 인한 2호선 신당역 내,외선 열차 무정차 통과는 09:22부로 종료되어 정상운행 중, 이용에 참고하시기 바랍니다.[서울교통공사] 01-29 09:26:58","2025-01-29 09:26","2025-01-29 10:26"
국문,"2호선 신당역 열차 무정차 통과","고객 여러분께 안내 말씀드립니다.2호선 신당역 외부 화재로 연기 유입되어 내,외선 열차 무정차 통과하고 있습니다. 신당역을 이용하실 고객께서는 인근역을 이용하시기 바랍니다. 01-29 09:00:09","2025-01-29 09:00","2025-01-29 10:00"
국문,설 연휴 열차운행 조정 알림(앱 설 시간표 미반영),"2025년 설 연휴 기간 열차운행 효율성과 이용객 편의를 위하여열차운행계획을 조정하오니 열차이용에 참고해 주시기 바랍니다. ○ 주간 감축 운행: 25. 1. 28.(화) ~ 1. 30.(목) / 3일간* 1. 25.(토) ~ 1. 27.(월)은 휴일 시간표 적용○ 심야 연장 운행: 25. 1. 29.(수) ~ 1. 30.(목) / 2일간 * 다음날 02시까지(도착역 기준)※ 또타지하철 앱에는 설 연휴 시간표가 반영되지 않았습니다. 시간표, 경로검색 시 참고하시기 바랍니다.※ 설 연휴 시간표는 아래 홈페이지를 통해 확인할 수 있습니다.※ 실시간 열차운행 위치는 앱 메인화면 하단의 ‘실시간 열차정보’를 누르면 확인할 수 있습니다.","2025-01-24 00:00","2025-01-31 02:00"
국문,특정장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 01-22 07:00:00","2025-01-22 07:00","2025-01-22 12:00"
국문,"5호선 애오개역 무정차 통과 종료",도심집회 관련 5호선 애오개역 무정차 통과는 16:17부로 종료하며 5호선 전 열차 정상 운행합니다. 열차 이용에 참고하세요. 01-18 16:23:54,"2025-01-18 16:23","2025-01-18 17:23"
국문,"5호선 애오개역 열차 무정차 통과",도심집회 관련 5호선 애오개역 승객 폭주로 16:08부터 상?하선 열차가 무정차 통과 중입니다. 01-18 16:08:48,"2025-01-18 16:08","2025-01-18 17:08"
국문,코레일 경원선 창동~신이문역 간 전차선 긴급점검 완료,"코레일 경원선 창동~신이문역 간 전차선 단전은 긴급점검 완료 후 현재 상, 하선 열차 정상운행 중이오니 열차 이용에 참고하시기 바랍니다. 01-07 17:03:49","2025-01-07 17:03","2025-01-07 18:03"
국문,코레일 경원선 창동~신이문역 간 전차선 긴급점검,"현재 코레일 경원선 창동~신이문역 간 전차선 긴급점검을 위한 상, 하선 단전으로 열차 지연이 발생할 수 있으니 열차 이용에 참고하시기 바랍니다. 01-07 16:29:34","2025-01-07 16:29","2025-01-07 17:29"
국문,"6호선 한강진역 무정차 통과종료",대규모 도심집회 관련 6호선 한강진역 무정차 통과는 17:41부로 종료하며 6호선 전 열차 정상운행 합니다. 열차 이용에 참고하세요.[서울교통공사] 01-04 17:46:57,"2025-01-04 17:46","2025-01-04 18:46"
국문,"6호선 한강진역 무정차 통과",[대규모 도심집회] 관련 6호선 한강진역 승객폭주로 17:21부터 상하선 열차 무정차 통과 중입니다. 01-04 17:25:59,"2025-01-04 17:25","2025-01-04 18:25"
국문,"1호선 종각역 열차 무정차 통과 종료","고객 여러분께 안내 말씀드립니다.제야의 종 타종행사 관련 1호선 종각역 상,하선 열차 무정차 통과가 00:40부로 종료되어 정상운행되고 있습니다. 이용에 참고하시기 바랍니다. 01-01 00:40:15","2025-01-01 00:40","2025-01-01 01:40"
국문,"1호선 종각역 열차 무정차 통과","고객 여러분께 안내 말씀드립니다.23시 제야의 종 타종행사 관련 1호선 종각역 상,하선 열차 무정차 통과합니다. 종각역을 이용하실 고객께서는 인근 종로3가역이나 을지로입구역을 이용하시기 바랍니다. 12-31 22:51:57","2024-12-31 22:51","2024-12-31 23:51"
국문,제야의 종 타종행사 관련 특별수송 임시열차 안내,"서울교통공사에서 알려드립니다.12월 31일 보신각에서 2024 제야의 종 타종행사가 예정되어 있습니다.제야의 종 타종행사에 참여하는 시민들의 심야시간 교통편의를 위한특별수송 임시열차를 운행하오니, 열차이용에 참고하시기 바랍니다.자세한 시간표는 홈페이지를 통해 확인하시기 바랍니다. ○ 운 행 일: 2024.12.31.(화) ~ 익일 02시까지 ○ 대상호선: 1~8호선 ※ 또타지하철 앱 시간표에는 적용되지 않으며 앱 하단 열차정보 메뉴를 클릭하시면 특별수송 열차의 실시간 위치를 확인할 수 있습니다.","2024-12-31 00:00","2025-01-01 02:00"
국문,또타지하철 앱 GTX-A(운정중앙~서울) 노선도 반영 일정 안내,또타지하철 앱 GTX-A(운정중앙~서울)의 노선도 반영 일정에 대해 안내드립니다. ○ 대상 노선: GTX-A(운정중앙~서울) ○ 개통일: 2024년 12월 28일 토요일 ○ 노선도 반영 예정일: 2025년 1월 첫째 주 예정노선도 반영이 지연되어 죄송합니다.빠른 시일 내 반영할 수 있도록 노력하겠습니다.,"2024-12-30 00:00","2025-01-03 17:00"
국문,모바일 열차 안내방송 서비스 정식 운영 안내,"스마트폰으로 열차 내 안내방송을 보고 들을 수 있는 '모바일 열차 안내방송 서비스'가 정식 운영함을 안내드립니다. ○ 지원기종: 안드로이드 ○ 이용 방법(앱 업데이트 필요)   - 1~8호선 서울교통공사 구간 내 서울교통공사 열차 탑승   - 우측 상단 ‘내 위치 조회(화살표)’ 아이콘 클릭 ○ 기능 설명   - 안내방송 시청, 청취   - 현재 탑승한 열차 위치, 칸별 혼잡도 확인   - 다른 앱 사용 시 팝업 형태로 열차 위치 안내※ 음성 안내, 다른 앱 위에 표시 기능은 해당 화면 우측 상단 설정을 통해 활성화 하실 수 있습니다.","2024-12-27 00:00","2025-01-01 00:00"
국문,지하철 운임 계좌이체 종료 안내,이미지 형태의 공지사항,"2024-12-26 00:00","2025-01-20 00:00"
국문,"4호선(안산선) 금정역 신호장애 조치완료","4호선(안산선) 금정역 신호장애는 조치완료되었으나 그 여파로 인하여 하선열차가 지연운행되고 있습니다.열차 운행에 참고하시기 바랍니다. 12-17 19:13:58","2024-12-17 19:13","2024-12-17 20:13"
국문,"4호선(안산선) 금정역 신호장애","4호선(안산선) 금정역 신호장애로 하선열차가 지연운행되고 있습니다.바쁘신 고객분들께서는 타 교통수단을 이용하여주시기 바랍니다. 12-17 18:58:15","2024-12-17 18:58","2024-12-17 21:58"
국문,또타지하철 앱 서비스 중단 안내,"또타지하철 앱 관련 장비교체 작업으로 서비스가 일시 중단됨을 알려 드리오니, 앱 이용에 참고하시기 바랍니다.1. 서비스 중단일시: '24. 12. 16.(월) 10:00 ~ 15:00(5시간) 2. 서비스 중단범위:   1) 또타지하철 앱 전체 서비스3. 서비스 중단사유: 또타지하철 앱 관련 장비 교체 작업 앱 이용에 양해부탁드립니다.","2024-12-16 09:00","2024-12-16 15:00"
국문,서울교통공사 5호선 여의도역 무정차 통과 종료,오늘 여의도 집회 관련 5호선 여의도역 무정차 통과는 15:10부터 종료하며 5호선 전 열차 정상운행합니다. 열차이용에 참고하세요.[서울교통공사] 12-14 15:14:34,"2024-12-14 15:14","2024-12-14 16:14"
국문,"5호선 여의도역 무정차 통과",오늘 여의도 집회 관련 인파 밀집으로 14:58부터 5호선 상하선 열차 여의도역을 무정차 통과중입니다. 열차이용에 참고하세요.[서울교통공사] 12-14 15:00:27,"2024-12-14 15:00","2024-12-14 16:00"
국문,또타지하철 앱 1~4호선 서비스 중단 안내,"또타지하철 앱 관련 장비교체 작업으로 서비스가 일시 중단됨을 알려 드리오니, 앱 이용에 참고하시기 바랍니다.1. 서비스 중단일시: '24. 12. 13.(금) 11:00 ~ 17:00(6시간) 2. 서비스 중단범위:   1) 또타지하철 앱 내 위치조회 및 실시간 열차운행정보(홈페이지 실시간 열차운행정보 포함)   2) 또타지하철 앱 민원신고   3) 또타지하철 앱 기타 서비스   ※ 1~4호선에 한하여 일시 중단 3. 서비스 중단사유: 또타지하철 앱 관련 장비 교체 작업 앱 이용에 양해부탁드립니다.","2024-12-13 08:30","2024-12-13 17:00"
국문,"5호선 여의도역 무정차 통과 종료",[대규모 도심집회]관련 5호선 여의도역 무정차 통과는 17:17부로 종료하며 5호선 전 열차 정상운행 재개합니다. 12-07 17:26:44,"2024-12-07 17:26","2024-12-07 18:26"
국문,"5호선 여의도역 무정차 통과",[대규모 도심집회] 관련 5호선 여의도역 승객폭주로 17시부로 상하선 열차가 무정차 통과 중입니다. 12-07 17:06:43,"2024-12-07 17:06","2024-12-07 18:06"
국문,또타지하철 앱 5~8호선 서비스 중단 안내,"또타지하철 앱 관련 장비교체 작업으로 서비스가 일시 중단됨을 알려 드리오니,앱 이용에 참고하시기 바랍니다.1. 서비스 중단일시: '24. 12. 6.(금) 12:00 ~ 14:00(2시간)2. 서비스 중단범위:? 1) 또타지하철 앱 내 위치조회 및?실시간 열차운행정보(홈페이지 실시간 열차운행정보 포함)  2) 또타지하철 앱 민원신고  3) 또타지하철 앱 기타 서비스??※ 5~8호선에 한하여 일시 중단3. 서비스 중단사유: 또타지하철 앱 관련 장비 교체 작업앱 이용에 양해부탁드립니다.","2024-12-06 00:00","2024-12-06 14:00"
국문,"용산역 4·5번(1호선 용산급행, 노량진 방면 일반 전동열차) 승강장 공사 안내","용산역 4·5번 승강장 엘리베이터 개량공사로 1호선 용산급행, 노량진 방면 일반 전동열차 승강장의 엘리베이터 이용이 불가하오니 용산역 이용에 참고하시기 바랍니다.?공사기간 - '24.12.2(월)~'24.12.31.(화)?대체경로 안내 - 용산급행 열차 이용하여 용산역 하차하는 경우  · 노량진역 하차 후 용산 방면 일반 전동열차 이용 - 노량진 방면 열차 이용하여 용산역 하차하는 경우  · 노량진역 하차 후 용산 방면 일반 전동열차 이용 - 용산역에서 노량진 방면 열차 승차하는 경우  · 6번 승강장에서 남영역 이동 후, 노량진 방면 열차 이용  · 3번 승강장에서 동인천 급행 열차 이용관련 문의는 용산역(921-5414, 5115)로 주시기 바랍니다.","2024-12-02 00:00","2025-01-01 00:00"
국문,오전 출근 R/H 시간 연장 안내(07:00~10:00),"서울교통공사에서 알려드립니다.11.28.(목) 수도권 대설특보로 1~8호선 오전 출근 R/H 1시간 연장운행(07:00~10:00)을 실시하오니, 고객 여러분께서는 열차이용에 참고하시기 바랍니다. 아울러 지하철 역사 및 열차 내부 혼잡이 예상되오니 고객 여러분께서는 안전에 유의하여 주시기 바랍니다.  11-28 09:20:05","2024-11-28 09:20","2024-11-28 10:20"
국문,오전 출근 R/H 시간 연장 안내(07:00~09:30),"서울교통공사에서 알려드립니다.11.28.(목) 수도권 대설특보로 1~8호선 오전 출근 R/H 30분 연장운행(07:00~09:30)을 실시하오니, 고객 여러분께서는 열차이용에 참고하시기 바랍니다. 아울러 지하철 역사 및 열차 내부 혼잡이 예상되오니 고객 여러분께서는 안전에 유의하여 주시기 바랍니다. 11-28 06:37:04","2024-11-28 06:37","2024-11-28 09:37"
국문,오후 퇴근 R/H 시간 연장 안내(18:00~20:30),"서울교통공사에서 알려드립니다.11.27.(수) 서울지역 대설경보로 1~8호선 오후 퇴근 R/H 30분 연장운행(18:00~20:30)을 실시하오니, 고객 여러분께서는 열차이용에 참고하시기 바랍니다. 아울러 지하철 역사 및 열차 내부 혼잡이 예상되오니 고객 여러분께서는 안전에 유의하여 주시기 바랍니다. 11-27 17:01:50","2024-11-27 17:01","2024-11-27 21:01"
국문,오전 R/H 시간 연장 안내(07:00~09:30),"서울교통공사에서 알려드립니다.11.27.(수) 이상기후(강설)로 인하여 1~8호선 오전 R/H 30분 연장운행(07:00~09:30)을 실시하오니, 고객 여러분께서는 열차이용에 참고하시기 바랍니다. 아울러 지하철 역사 및 열차 내부 혼잡이 예상되오니 고객 여러분께서는 안전에 유의하여 주시기 바랍니다. 11-27 08:18:35","2024-11-27 08:18","2024-11-27 09:18"
국문,또타지하철 서비스 일시 중단 안내,또타지하철 앱의 안정적 서비스 제공을 위한 장비 교체 작업으로 서비스가 일시 중단됨을 알려 드립니다. 1. 서비스 중단일시 및 범위   일시: '24. 11. 26.(화) 12:00 ~ 14:00(2시간)  범위: 또타지하철 전체 서비스2. 중단 사유: 운영 장비 교체※ 작업시간은 상황에 따라 연장 또는 단축될 수 있습니다.또타지하철 앱 이용에 불편을 드려 죄송합니다.,"2024-11-26 09:00","2024-11-26 13:00"
국문,실시간열차운행정보 안내,코레일 열차운행정보 시스템 장애로 실시간 열차정보를 확인할 수 없으니 앱 이용에 참고하시기 바랍니다.   ㅇ대상구간   - 1호선(서울역~청량리역 외 구간)   - 3호선(삼송역~대화역)   - 4호선(선바위역~오이도역)  앱 이용에 불편을 드려 대단히 죄송합니다.,"2024-11-19 00:00","2024-11-19 17:00"
국문,"4호선 동대문역 연기발생 조치완료","4호선 동대문역 에스컬레이터 연기발생은 조치완료되어 무정차 통과 종료되었으며, 22:43분부로 열차 정상운행 합니다 11-18 23:00:32","2024-11-18 23:00","2024-11-19 00:00"
국문,"4호선 동대문역 연기발생","4호선 동대문역 에스컬레이터 연기발생으로 상,하선 무정차 통과 중입니다. 열차이용에 참고하시기 바랍니다. 11-18 21:53:45","2024-11-18 21:53","2024-11-18 22:53"
국문,철도노동조합 태업 열차지연,"한국철도공사 노동조합 태업으로 인하여 1호선, 3호선, 4호선 열차 운행이 지연될 수 있습니다. 열차 이용에 참고하시기 바랍니다. 11-18 07:19:33","2024-11-18 07:19","2024-11-18 08:19"
국문,무임수송 제도 웹툰,이미지 형태의 공지사항,"2024-11-13 00:00","2024-11-30 00:00"
국문,무임수송 제도 웹툰,이미지 형태의 공지사항,"2024-11-13 00:00","2024-11-30 00:00"
국문,무임수송 제도 웹툰,이미지 형태의 공지사항,"2024-11-13 00:00","2024-11-30 00:00"
국문,무임수송 제도 웹툰,링크를 통해 큰 화면으로 웹툰을 볼 수 있습니다.,"2024-11-13 00:00","2025-03-14 00:00"
